Castor Castor fiber 19000
Muntiacus Muntiacus atherodes 18939.1
Gazella Gazella bennettii 18916.67
Muntiacus Muntiacus gongshanensis 18590.01
Muntiacus Muntiacus crinifrons 18590.01
Cephalophus Cephalophus ogilbyi 18386.42
Muntiacus Muntiacus vaginalis 18368.41
Muntiacus Muntiacus puhoatensis 18368.41
Muntiacus Muntiacus montanus 18368.41
Mazama Mazama temama 18335.8171428571
Mazama Mazama nemorivaga 18335.8171428571
Mazama Mazama bororo 18335.8171428571
Castor Castor canadensis 18124.41
Papio Papio papio 18026.05
Papio Papio ursinus 17729.44
Papio Papio anubis 17728.56
Muntiacus Muntiacus muntjak 17611.59
Semnopithecus Semnopithecus priam 17200
Semnopithecus Semnopithecus hector 17200
Semnopithecus Semnopithecus dussumieri 17200
Semnopithecus Semnopithecus ajax 17200
Ourebia Ourebia ourebi 17186.09
Macropus Macropus bernardus 17000
Cephalophus Cephalophus weynsi 17000
Macropus Macropus rufogriseus 16850
Mandrillus Mandrillus sphinx 16685.06
Mazama Mazama gouazoubira 16633.17
Mazama Mazama nana 16499.85
Mazama Mazama bricenii 16499.85
Mazama Mazama chunyi 16071.74
Theropithecus Theropithecus gelada 15964.11
Papio Papio cynocephalus 15822.15
Cuon Cuon alpinus 15800
Cephalophus Cephalophus zebra 15654.75
Sylvicapra Sylvicapra grimmia 15639.15
Gazella Gazella dorcas 15635.95
Muntiacus Muntiacus truongsonensis 15000
Wallabia Wallabia bicolor 14999.95
Neofelis Neofelis nebulosa 14945.05
Hystrix Hystrix africaeaustralis 14936.02
Cephalophus Cephalophus nigrifrons 14676.33
Cephalophus Cephalophus harveyi 14500.1
Moschus Moschus leucogaster 14500
Moschus Moschus cupreus 14500
Canis Canis simensis 14361.86
Hystrix Hystrix indica 14298.6
Mandrillus Mandrillus leucophaeus 14253.3
Papio Papio hamadryas 14007.08
Moschus Moschus fuscus 13697.9
Moschus Moschus chrysogaster 13697.9
Pardofelis Pardofelis temminckii 13500
Brachyteles Brachyteles hypoxanthus 13500
Muntiacus Muntiacus reevesi 13499.94
Oreotragus Oreotragus oreotragus 13486.55
Rhinopithecus Rhinopithecus roxellana 13456.8
Hystrix Hystrix cristata 13406.27
Moschus Moschus moschiferus 13315.57
Dendrolagus Dendrolagus ursinus 13249.99
Cephalophus Cephalophus leucogaster 13208.69
Trachypithecus Trachypithecus shortridgei 13182
Arctictis Arctictis binturong 12999.99
Gulo Gulo gulo 12792.49
Hydropotes Hydropotes inermis 12760.04
Cephalophus Cephalophus natalensis 12724.51
Semnopithecus Semnopithecus entellus 12679.29
Macropus Macropus parryi 12629.83
Dendrolagus Dendrolagus inustus 12625
Dinomys Dinomys branickii 12500
Moschus Moschus berezovskii 12477.41
Caracal Caracal aurata 12400
Rhinopithecus Rhinopithecus brelichi 12267.15
Nasalis Nasalis larvatus 12265.65
Cephalophus Cephalophus rufilatus 12114.57
Civettictis Civettictis civetta 12075.58
